Site,lat,lon
AB,42.87291,-77.006513
BA,42.606404,-76.498592
BD,42.553447,-76.657857
EV,42.190078,-76.566951
GR,42.655905,-76.47218
HG,42.35773,-76.51123
HS,42.856325,-77.024492
IC,42.470067,-76.549003
IT,42.442749,-76.462859
KI,42.562256,-76.652713
LA,42.572799,-76.595432
LF,42.832115,-76.986815
LT,42.350851,-76.5668
OK,42.544438,-76.522972
RE,42.374538,-76.927488
RF,42.776143,-76.999573
WH,42.443799,-76.536078
